;analyzer;test_file;nr_utterances;no_triples;correct_triples;incorrect_triples;triple_precision;total triple elements;correct triple elements;incorrect triple elements;precision triple elements;correct_subjects;incorrect_subjects;subjects_precision;correct_objects;incorrect_objects;objects_precision;correct_predicates;incorrect_predicates;predicates_precision;correct_perspectives;incorrect_perspectives;perspectives_precision
5;CFG;./data/activities.txt;24;0;0;24;0.00;72;30;42;0.42;22;2;91.67;8;16;33.33;0;24;0.00;0;0;0.00
5;CONV;./data/activities.txt;24;1;0;24;0.00;72;27;45;0.38;19;5;79.17;8;16;33.33;0;24;0.00;0;0;0.00
5;openIE;./data/activities.txt;24;5;0;24;0.00;72;21;51;0.29;6;18;25.00;15;9;62.50;0;24;0.00;0;0;0.00
5;spaCy;./data/activities.txt;24;5;0;24;0.00;72;36;36;0.50;18;6;75.00;18;6;75.00;0;24;0.00;0;0;0.00
6;CFG;./data/feelings.txt;8;0;4;4;50.00;24;20;4;0.83;8;0;100.00;8;0;100.00;4;4;50.00;0;0;0.00
6;CONV;./data/feelings.txt;8;0;4;4;50.00;24;20;4;0.83;8;0;100.00;8;0;100.00;4;4;50.00;0;0;0.00
6;openIE;./data/feelings.txt;8;0;0;8;0.00;24;14;10;0.58;4;4;50.00;8;0;100.00;2;6;25.00;0;0;0.00
6;spaCy;./data/feelings.txt;8;0;4;4;50.00;24;20;4;0.83;8;0;100.00;8;0;100.00;4;4;50.00;0;0;0.00
4;CFG;./data/kinship-friends.txt;34;2;0;34;0.00;102;11;91;0.11;10;24;29.41;1;33;2.94;0;34;0.00;0;0;0.00
4;CONV;./data/kinship-friends.txt;34;1;0;34;0.00;102;11;91;0.11;10;24;29.41;1;33;2.94;0;34;0.00;0;0;0.00
4;openIE;./data/kinship-friends.txt;34;0;0;34;0.00;102;13;89;0.13;12;22;35.29;1;33;2.94;0;34;0.00;0;0;0.00
4;spaCy;./data/kinship-friends.txt;34;8;0;34;0.00;102;10;92;0.10;10;24;29.41;0;34;0.00;0;34;0.00;0;0;0.00
7;CFG;./data/locations.txt;13;0;13;0;100.00;39;39;0;1.00;13;0;100.00;13;0;100.00;13;0;100.00;0;0;0.00
7;CONV;./data/locations.txt;13;0;0;13;0.00;39;23;16;0.59;13;0;100.00;10;3;76.92;0;13;0.00;0;0;0.00
7;openIE;./data/locations.txt;13;0;0;13;0.00;39;9;30;0.23;9;4;69.23;0;13;0.00;0;13;0.00;0;0;0.00
7;spaCy;./data/locations.txt;13;0;0;13;0.00;39;16;23;0.41;13;0;100.00;0;13;0.00;3;10;23.08;0;0;0.00
3;CFG;./data/perspective.txt;28;0;9;19;32.14;84;38;46;0.45;16;12;57.14;13;15;46.43;9;19;32.14;44;22;66.67
3;CONV;./data/perspective.txt;28;4;10;18;35.71;84;49;35;0.58;17;11;60.71;22;6;78.57;10;18;35.71;28;26;51.85
3;openIE;./data/perspective.txt;28;19;0;28;0.00;84;13;71;0.15;8;20;28.57;5;23;17.86;0;28;0.00;0;15;0.00
3;spaCy;./data/perspective.txt;28;13;10;18;35.71;84;38;46;0.45;15;13;53.57;11;17;39.29;12;16;42.86;0;36;0.00
8;CFG;./data/professions.txt;7;0;5;2;71.43;21;18;3;0.86;7;0;100.00;6;1;85.71;5;2;71.43;0;0;0.00
8;CONV;./data/professions.txt;7;0;4;3;57.14;21;15;6;0.71;7;0;100.00;4;3;57.14;4;3;57.14;0;0;0.00
8;openIE;./data/professions.txt;7;0;0;7;0.00;21;9;12;0.43;3;4;42.86;6;1;85.71;0;7;0.00;0;0;0.00
8;spaCy;./data/professions.txt;7;0;2;5;28.57;21;15;6;0.71;7;0;100.00;6;1;85.71;2;5;28.57;0;0;0.00
0;CFG-a;./data/statements.txt;88;2;45;43;51.14;264;177;87;0.67;68;20;77.27;60;28;68.18;49;39;55.68;0;0;0.00
0;CONV;./data/statements.txt;88;5;40;48;45.45;264;183;81;0.69;67;21;76.14;72;16;81.82;44;44;50.00;0;0;0.00
0;openIE;./data/statements.txt;88;17;0;88;0.00;264;73;191;0.28;42;46;47.73;24;64;27.27;7;81;7.95;0;0;0.00
0;spaCy;./data/statements.txt;88;40;10;78;11.36;264;92;172;0.35;37;51;42.05;21;67;23.86;34;54;38.64;0;0;0.00
1;CFG;./data/verb-questions.txt;63;0;29;34;46.03;189;138;51;0.73;55;8;87.30;50;13;79.37;33;30;52.38;0;0;0.00
1;CONV;./data/verb-questions.txt;63;8;24;39;38.10;189;116;73;0.61;41;22;65.08;44;19;69.84;31;32;49.21;0;0;0.00
1;openIE;./data/verb-questions.txt;63;15;0;63;0.00;189;50;139;0.26;36;27;57.14;14;49;22.22;0;63;0.00;0;0;0.00
1;spaCy;./data/verb-questions.txt;63;24;10;53;15.87;189;79;110;0.42;35;28;55.56;16;47;25.40;28;35;44.44;0;0;0.00
2;CFG;./data/wh-questions.txt;66;2;21;45;31.82;198;117;81;0.59;38;28;57.58;58;8;87.88;21;45;31.82;0;0;0.00
2;CONV;./data/wh-questions.txt;66;19;11;55;16.67;198;75;123;0.38;23;43;34.85;40;26;60.61;12;54;18.18;0;0;0.00
2;openIE;./data/wh-questions.txt;66;58;0;66;0.00;198;8;190;0.04;5;61;7.58;3;63;4.55;0;66;0.00;0;0;0.00
2;spaCy;./data/wh-questions.txt;66;64;2;64;3.03;198;6;192;0.03;2;64;3.03;2;64;3.03;2;64;3.03;0;0;0.00
